charge_id,member_id,charge_date,amount,status
CH9331,M2112,29-01-2026,16.41,Success
CH9256,M2086,06-10-2025,40.86,Success
CH9113,M2036,06-04-2026,19.98,Failed
CH9083,M2025,04-02-2026,40.75,success
CH9054,M2018,13-08-2025,17.58,Failed
CH9085,M2025,05-04-2026,38.96,Success 
CH9365,M2126,28-11-2025,20.26,Success
CH9052,M2017,12-04-2026,39.6,Success
CH9099,M2031,25-10-2025,18.74,Success
CH9011,M2002,12-08-2026,39.23,Success
CH9395,M2134,01-04-2026,37.95,Success
CH9308,M2102,03-12-2025,16.39,Success
CH9075,M2024,08-02-2026,18.56,Success
CH9311,M2102,03-03-2026,18.9,Success
CH9205,M2066,23-12-2025,38.06,Success
CH9304,M2101,09-03-2026,17.24,Success
CH9297,M2098,23-12-2025,38.77,Success
CH9024,M2007,12-08-2026,19.31,Success
CH9267,M2088,23-10-2025,38.56,Success
CH9385,M2133,15-09-2025,18.23,Refunded
CH9279,M2093,25-09-2025,40.35,Success
CH9261,M2086,05-03-2026,38.32,Success
CH9219,M2071,24-11-2025,39.45,Success
CH9317,M2105,11-07-2026,39.8,Success
CH9060,M2020,21-10-2025,38.19,Success
CH9051,M2017,13-03-2026,39.97,Success
CH9039,M2015,19-03-2026,39.11,Success
CH9300,M2100,16-05-2026,18.24,Success
CH9320,M2106,11-10-2025,17.96,Refunded
CH9160,M2051,17-04-2026,19.48,Success
CH9081,M2025,06-12-2025,39.61,Success 
CH9186,M2057,31-05-2026,19.15,Success
CH9135,M2043,21-04-2026,40.07,Cancelled
CH9272,M2090,03-11-2025,39.01,Success
CH9006,M2001,29-03-2026,17.01,success
CH9076,M2024,10-03-2026,19.05,Success
CH9048,M2017,13-12-2025,39.95,Success
CH9047,M2016,24-03-2026,17.3,Success
CH9071,M2023,10-11-2025,19.71,Refunded
CH9142,M2047,08-06-2026,19.14,Success
CH9080,M2025,06-11-2025,41.22,Success
CH9031,M2012,27-02-2026,0,Failed
CH9234,M2075,20-01-2026,39.81,Success
CH9232,M2075,21-11-2025,39.24,Success
CH9211,M2069,17-07-2025,19.16,Success
CH9116,M2037,20-06-2026,19.11,Success
CH9026,M2008,09-08-2026,37.95,Success
CH9066,M2021,25-06-2026,0,Cancelled
CH9281,M2094,10-06-2026,0,Success 
CH9359,M2124,09-06-2026,0,Failed
CH9155,M2050,31-12-2025,18.93,Success
CH9194,M2063,28-06-2025,40,Success
CH9063,M2020,19-01-2026,40.67,Success
CH9069,M2023,11-09-2025,20.75,Success
CH9368,M2127,20-09-2025,19.52,Success
CH9078,M2024,09-05-2026,20.71,Failed
CH9241,M2078,11-01-2026,0,Success
CH9318,M2106,12-08-2025,18.74,Success
CH9239,M2077,22-05-2026,0,Success
CH9059,M2019,12-04-2026,19.15,Success
CH9126,M2040,06-09-2025,37.35,Failed
CH9043,M2016,24-11-2025,19.63,Success
CH9005,M2001,27-02-2026,20.22,Success
CH9122,M2038,15-07-2026,38.55,Success
CH9192,M2061,20-08-2025,18.71,Success
CH9255,M2085,13-06-2026,17.28,Success
CH9273,M2090,03-12-2025,38.74,Success
CH9271,M2090,04-10-2025,40.88,Success
CH9110,M2034,16-06-2026,17.6,Success
CH9119,M2038,16-04-2026,41.82,Success
CH9053,M2018,14-07-2025,19.59,Success
CH9195,M2063,28-07-2025,40.06,Success
CH9007,M2002,14-04-2026,39.6,Success
CH9322,M2107,19-11-2025,18.15,Cancelled
CH9240,M2078,12-12-2025,0,Success
CH9374,M2129,16-02-2026,39.3,Success
CH9215,M2069,14-11-2025,20.66,Success
CH9226,M2073,04-04-2026,38.63,Success
CH9369,M2127,20-10-2025,,Refunded
CH9244,M2079,09-08-2026,37.8,Success
CH9326,M2109,15-07-2025,18.76,Success
CH9370,M2127,19-11-2025,18.08,Success
CH9004,M2001,28-01-2026,21.06,Success
CH9191,M2060,16-06-2026,0,success
CH9123,M2039,17-06-2025,0.66,Cancelled
CH9079,M2025,07-10-2025,,Success
CH9356,M2122,01-08-2026,39.97,Success
CH9065,M2020,20-03-2026,39.03,Success
CH9019,M2005,02-03-2026,21.33,Success
CH9291,M2097,26-04-2026,19.17,Success
CH9152,M2050,02-10-2025,18.76,Success 
CH9408,M2139,15-09-2025,38.3,Success
CH9044,M2016,24-12-2025,19.49,Success
CH9181,M2056,31-10-2025,18.26,Cancelled
CH9334,M2113,11-07-2026,19.8,Success
CH9164,M2052,14-07-2026,19.14,Success
CH9280,M2093,25-10-2025,38.52,Success
CH9141,M2046,30-05-2026,17.96,Success
CH9340,M2116,25-09-2025,38.75,Success
CH9396,M2134,01-05-2026,39.67,Success
CH9347,M2120,23-06-2025,18.66,Success
CH9333,M2113,11-06-2026,21.03,Success
CH9327,M2110,09-04-2026,1.39,Cancelled
CH9269,M2089,19-04-2026,20,Success
CH9169,M2053,01-05-2026,37.77,Success
CH9345,M2119,01-04-2026,17.25,Success
CH9046,M2016,22-02-2026,16.88,Success
CH9305,M2101,08-04-2026,20.67,Success
CH9144,M2047,07-08-2026,17.5,Success
CH9266,M2087,26-04-2026,20.96,Success
CH9262,M2086,04-04-2026,39.12,Success
CH9042,M2016,25-10-2025,18.76,Success
CH9225,M2073,05-03-2026,38.13,Success
CH9022,M2006,30-07-2026,16.81,Success
CH9298,M2099,28-03-2026,38.41,Success
CH9109,M2034,17-05-2026,18.91,Success
CH9178,M2055,07-05-2026,16.84,Success
CH9058,M2019,13-03-2026,20.6,Success
CH9405,M2138,01-03-2026,39.2,Failed
CH9204,M2066,23-11-2025,37.93,Success
CH9295,M2098,24-10-2025,38.28,Success
CH9389,M2133,13-01-2026,19.42,Success
CH9171,M2054,03-03-2026,20.25,Success
CH9030,M2011,23-02-2026,18.89,Success
CH9163,M2052,14-06-2026,18.8,Failed
CH9150,M2049,28-01-2026,19.04,Success
CH9393,M2134,31-01-2026,38.95,Success
CH9200,M2065,13-10-2025,39.9,Success
CH9314,M2105,12-04-2026,39.86,Success
CH9095,M2029,19-01-2026,17.55,Success
CH9252,M2085,15-03-2026,18.53,Success
CH9375,M2129,18-03-2026,40.11,Success
CH9222,M2072,21-02-2026,37.88,Cancelled
CH9086,M2026,22-10-2025,39.71,Success
CH9133,M2042,26-12-2025,37.22,Success
CH9188,M2058,09-08-2025,38.84,Success
CH9362,M2125,30-08-2025,19.48,Success
CH9090,M2028,16-03-2026,0.7,Failed
CH9012,M2003,23-01-2026,40.76,Success
CH9035,M2014,08-07-2026,0.81,Success
CH9218,M2071,25-10-2025,39.86,Success
CH9073,M2023,09-01-2026,17.4,Failed
CH9386,M2133,15-10-2025,20.36,Success
CH9248,M2082,08-07-2026,39.71,Success
CH9251,M2084,17-03-2026,39.45,Failed
CH9315,M2105,12-05-2026,38.12,SUCCESS
CH9140,M2046,30-04-2026,18.35,Success
CH9394,M2134,02-03-2026,37.59,Success
CH9112,M2036,07-03-2026,16.14,Success
CH9346,M2119,01-05-2026,18.92,Success
CH9013,M2003,22-02-2026,38.27,Cancelled
CH9221,M2072,22-01-2026,,Success
CH9088,M2027,11-11-2025,17.85,Success
CH9199,M2065,13-09-2025,39.01,Success
CH9214,M2069,15-10-2025,19.79,Success
CH9371,M2127,19-12-2025,18.83,Success
CH9235,M2075,19-02-2026,38.51,Failed
CH9355,M2122,02-07-2026,39.37,Success
CH9165,M2052,13-08-2026,20.74,Success
CH9176,M2055,08-03-2026,18.62,Success
CH9350,M2121,23-03-2026,17.64,Failed
CH9328,M2111,20-12-2025,38.85,Success
CH9097,M2030,15-07-2026,18.78,Success
CH9264,M2087,25-02-2026,18.49,Cancelled
CH9064,M2020,18-02-2026,40.63,Success
CH9223,M2072,23-03-2026,41.65,Success
CH9096,M2030,15-06-2026,18.64,Failed
CH9014,M2003,24-03-2026,38.57,Success 
CH9018,M2005,31-01-2026,16.34,Success
CH9302,M2100,15-07-2026,17.09,Success
CH9247,M2081,17-10-2025,19.58,Success
CH9208,M2068,15-06-2026,39.37,Success
CH9091,M2029,21-09-2025,18.74,Success
CH9274,M2091,14-02-2026,20.52,Success
CH9040,M2015,18-04-2026,36.71,Success
CH9087,M2026,21-11-2025,38.95,Cancelled
CH9182,M2056,30-11-2025,21.51,Success
CH9285,M2096,29-12-2025,21.26,Success
CH9146,M2048,27-07-2025,0,Failed
CH9159,M2051,18-03-2026,18.71,Success
CH9343,M2118,29-10-2025,0,Failed
CH9306,M2101,08-05-2026,18.69,Success 
CH9307,M2101,07-06-2026,18.42,Failed
CH9292,M2097,26-05-2026,17.91,Success
CH9201,M2065,12-11-2025,39.23,Success
CH9072,M2023,10-12-2025,19.49,Success
CH9321,M2106,10-11-2025,20.89,Refunded
CH9352,M2121,22-05-2026,20.14,Success
CH9303,M2100,14-08-2026,18.87,Success
CH9330,M2112,30-12-2025,19.35,Success
CH9392,M2134,01-01-2026,39.25,Success
CH9325,M2109,15-06-2025,18.14,Success
CH9134,M2043,22-03-2026,37.45,Cancelled
CH9061,M2020,20-11-2025,38.98,Success
CH9341,M2116,25-10-2025,39.25,Refunded
CH9404,M2138,30-01-2026,40.92,Success
CH9101,M2031,24-12-2025,20.23,Success
CH9020,M2005,01-04-2026,17.93,Success
CH9401,M2137,01-04-2026,0.09,Success
CH9391,M2134,02-12-2025,40.98,Success
CH9265,M2087,27-03-2026,18.17,Success
CH9277,M2091,15-05-2026,16.94,Success
CH9009,M2002,13-06-2026,41.52,Success
CH9284,M2095,16-08-2026,40.45,Cancelled
CH9093,M2029,20-11-2025,21.07,Success
CH9253,M2085,14-04-2026,19.37,Success
CH9033,M2013,28-10-2025,39.59,Failed
CH9136,M2043,21-05-2026,37.96,Success
CH9023,M2007,13-07-2026,18.54,Success
CH9407,M2138,30-04-2026,38.6,Success
CH9216,M2070,26-09-2025,0,Failed
CH9397,M2135,13-11-2025,22.39,Success
CH9357,M2122,31-08-2026,39.31,Success
CH9258,M2086,05-12-2025,39.51,Success
CH9348,M2120,23-07-2025,18.2,Success
CH9174,M2054,01-06-2026,18.5,Refunded
CH9036,M2014,07-08-2026,0,Failed
CH9179,M2055,06-06-2026,19.42,Cancelled
CH9168,M2053,01-04-2026,40.66,Refunded
CH9227,M2073,04-05-2026,39.58,Success
CH9121,M2038,15-06-2026,36.94,Success
CH9276,M2091,15-04-2026,21.44,Success
CH9045,M2016,23-01-2026,19.63,Success
CH9301,M2100,15-06-2026,19.15,success
CH9077,M2024,09-04-2026,20.95,Success
CH9209,M2068,15-07-2026,39.3,Success
CH9213,M2069,15-09-2025,21.07,Success
CH9268,M2088,22-11-2025,39.76,Success
CH9312,M2103,19-04-2026,0,Failed
CH9217,M2071,25-09-2025,39.35,Success
CH9367,M2126,27-01-2026,17.35,Success
CH9010,M2002,13-07-2026,40.05,Success
CH9358,M2123,30-08-2025,37.61,Success
CH9286,M2096,28-01-2026,18.99,Success
CH9296,M2098,23-11-2025,38.67,Success
CH9105,M2032,21-05-2026,0,Success
CH9313,M2104,20-10-2025,0.01,Success
CH9366,M2126,28-12-2025,17.78,Failed
CH9092,M2029,21-10-2025,20.4,Success
CH9183,M2057,02-03-2026,17.91,Success
CH9316,M2105,11-06-2026,39.88,Success
CH9384,M2132,05-10-2025,19.86,Success
CH9173,M2054,02-05-2026,20.23,Success
CH9233,M2075,21-12-2025,39.59,Success
CH9037,M2015,18-01-2026,40.23,Success
CH9157,M2050,01-03-2026,20.57,Success
CH9003,M2001,29-12-2025,18.46,Success
CH9243,M2079,10-07-2026,38.46,Success
CH9309,M2102,02-01-2026,19.75,Success
CH9290,M2097,27-03-2026,18.02,Refunded
CH9049,M2017,12-01-2026,41.66,Success
CH9224,M2073,03-02-2026,37.54,Success
CH9353,M2121,21-06-2026,18.27,Success
CH9184,M2057,01-04-2026,18.75,Success
CH9332,M2112,28-02-2026,19.49,Success
CH9373,M2128,28-10-2025,39.89,FAILED
CH9161,M2051,17-05-2026,19.58,Success
CH9337,M2115,30-07-2025,0,Failed
CH9220,M2071,24-12-2025,37.58,Success
CH9100,M2031,24-11-2025,19.76,Success
CH9236,M2075,21-03-2026,40.11,Success
CH9118,M2037,19-08-2026,19.19,Failed
CH9342,M2117,24-04-2026,0,Failed
CH9002,M2000,06-08-2026,22.61,Success
CH9114,M2037,21-04-2026,20.28,Success
CH9387,M2133,14-11-2025,20.3,Success
CH9175,M2055,06-02-2026,19.45,Success
CH9254,M2085,14-05-2026,18.89,Success
CH9372,M2128,28-09-2025,38.21,Success
CH9185,M2057,01-05-2026,20.89,Cancelled
CH9166,M2053,31-01-2026,40.82,Success
CH9275,M2091,16-03-2026,19.2,Success
CH9193,M2062,06-07-2025,2.47,Cancelled
CH9001,M2000,07-07-2026,21.23,Success
CH9055,M2018,12-09-2025,18.31,Success
CH9376,M2129,17-04-2026,36.88,Success
CH9029,M2011,24-01-2026,21.9,Success
CH9207,M2068,16-05-2026,38.15,Cancelled
CH9050,M2017,11-02-2026,39.14,Success
CH9351,M2121,22-04-2026,17.82,Success
CH9021,M2006,30-06-2026,18.55,Success
CH9294,M2098,24-09-2025,38.97,Failed
CH9177,M2055,07-04-2026,18.28,Success
CH9336,M2114,10-10-2025,38.59,Cancelled
CH9380,M2130,15-05-2026,19.67,Success
CH9034,M2013,27-11-2025,38.66,Success
CH9172,M2054,02-04-2026,18.47,Success
CH9008,M2002,14-05-2026,40.61,Refunded
CH9319,M2106,11-09-2025,18.68,Success
CH9107,M2034,18-03-2026,17.56,Success
CH9098,M2030,14-08-2026,18.8,Success
CH9111,M2035,05-11-2025,0,Failed
CH9361,M2125,31-07-2025,20.45,Success
CH9070,M2023,11-10-2025,19.2,Success
CH9130,M2041,02-11-2025,0.23,Cancelled
CH9259,M2086,04-01-2026,38.5,Success
CH9323,M2107,19-12-2025,18.23,Success
CH9151,M2049,27-02-2026,20.04,Success
CH9338,M2116,27-07-2025,38.07,Success
CH9027,M2009,13-02-2026,0,FAILED
CH9399,M2136,17-07-2026,40.32,Success
CH9094,M2029,20-12-2025,20.48,Success
CH9149,M2049,29-12-2025,,Cancelled
CH9120,M2038,16-05-2026,40.22,Success
CH9406,M2138,31-03-2026,38.88,refunded
CH9139,M2045,05-01-2026,39.43,Success
CH9170,M2054,01-02-2026,17.92,Success
CH9364,M2126,29-10-2025,20.71,Success
CH9203,M2066,24-10-2025,38.71,Refunded
CH9148,M2049,29-11-2025,17.84,Cancelled
CH9257,M2086,05-11-2025,38.06,Success
CH9132,M2042,26-11-2025,38.69,Success
CH9250,M2083,07-09-2025,1.52,FAILED
CH9153,M2050,01-11-2025,19.53,Success
CH9363,M2125,29-09-2025,19.37,Success
