order_id,customer_id,order_date,order_amount,status
O5274,C1140,2026-08-06,73.34,Completed
O5052,C1025,2026-05-24,61.26,Completed
O5037,C1016,2026-04-07,28.35,Completed
O5014,C1006,2025-09-01,59.87,Completed
O5104,C1053,2026-05-07,84.0,Completed
O5189,C1100,2026-08-25,47.65,Completed
O5229,C1118,2025-09-11,25.21,Completed
O5100,C1052,2026-04-07,81.12,Completed
O5199,C1106,2026-04-25,88.88,Completed
O5029,C1012,2026-07-15,42.32,Completed
O5218,C1115,2026-02-25,61.74,Completed
O5022,C1009,2025-09-13,78.57,Completed
O5010,C1004,2026-01-04,17.86,Cancelled
O5114,C1059,2026-02-09,24.54,Completed
O5117,C1061,2026-04-07,69.13,Completed
O5021,C1009,2025-08-03,46.76,Completed
O5238,C1123,2026-01-24,,Completed
O5046,C1022,2026-01-03,90.12,Completed
O5227,C1117,2025-12-09,67.06,Completed
O5030,C1013,2026-07-01,64.38,completed
O5025,C1010,2026-02-22,29.57,Refunded
O5098,C1051,2025-08-21,29.37,Completed
O5103,C1053,2026-01-20,36.27,Completed
O5116,C1060,2026-07-21,25.92,Canceled
O5170,C1089,2026-08-21,34.7,Cancelled
O5174,C1092,2026-07-12,112.22,Completed
O5178,C1094,2026-06-25,20.13,Refunded
O5034,C1015,2026-08-02,58.56,Completed
O5165,C1087,2026-06-04,59.39,Completed
O5286,C1149,2025-08-14,66.03,Cancelled
O5064,C1032,2025-09-09,98.57,Completed
O5144,C1077,2026-01-01,36.73,Completed
O5136,C1072,2026-01-03,68.81,Completed
O5067,C1033,2026-08-03,69.23,Completed
O5050,C1024,2026-06-13,34.89,Completed
O5278,C1142,2026-05-01,33.63,Completed
O5241,C1123,2026-08-29,37.8,Refunded
O5151,C1081,2026-03-26,55.22,Completed
O5123,C1065,2025-10-12,46.74,Refunded
O5152,C1082,2025-06-25,31.55,Completed
O5001,C1000,2025-06-23,69.08,Cancelled
O5099,C1052,2025-12-24,59.35,Completed
O5176,C1093,2025-12-04,71.35,Completed
O5131,C1068,2025-08-22,67.63,Cancelled
O5086,C1044,2025-11-30,58.42,Refunded
O5109,C1056,2026-07-06,66.07,Refunded
O5201,C1106,2026-08-17,56.36,Completed
O5220,C1115,2026-07-06,49.55,Completed
O5084,C1044,2025-06-20,28.93,Completed
O5185,C1099,2025-07-11,35.0,Refunded
O5005,C1002,2026-05-25,66.48,Completed
O5271,C1138,2026-01-02,53.4,completed
O5058,C1028,2026-05-30,39.67,COMPLETE
O5223,C1116,2025-07-22,68.8,Completed
O5060,C1030,2025-11-03,49.44,completed
O5273,C1139,2026-01-22,,Completed
O5239,C1123,2026-03-14,41.28,Completed
O5181,C1096,2025-10-18,47.68,Completed
O5047,C1022,2026-01-29,56.25,Completed
O5285,C1148,2026-05-16,54.81,Completed
O5121,C1064,2026-01-31,77.53,Completed
O5031,C1013,2026-08-01,52.88,Completed
O5231,C1119,2025-07-10,66.15,Completed
O5057,C1028,2026-03-16,40.97,Completed
O5183,C1097,2026-03-07,56.13,Completed
O5156,C1083,2026-07-09,52.28,Completed
O5280,C1143,2026-02-21,99.23,completed
O5284,C1147,2026-02-13,70.38,Completed
O5128,C1067,2026-03-09,53.97,completed
O5166,C1088,2026-03-18,34.08,Completed
O5147,C1078,2026-06-01,66.44,Completed
O5043,C1020,2026-05-09,61.51,Refunded
O5253,C1130,2026-02-12,29.83,Completed
O5180,C1096,2025-09-06,69.96,Completed
O5077,C1040,2025-12-03,36.85,Completed
O5208,C1110,2025-10-25,63.6,Completed
O5008,C1003,2026-04-23,65.96,Complete
O5074,C1039,2026-05-29,11.9,Completed
O5222,C1115,2026-08-20,87.3,Complete
O5230,C1118,2026-01-13,36.62,Completed
O5175,C1092,2026-08-29,42.27,Completed
O5153,C1082,2025-07-23,53.56,Refunded
O5033,C1014,2026-06-24,12.99,Completed
O5016,C1007,2026-02-24,35.95,Complete
O5095,C1049,2026-05-23,43.7,Completed
O5108,C1056,2026-02-17,48.93,Completed
O5267,C1137,2025-05-11,50.61,Cancelled
O5148,C1079,2026-05-28,22.89,COMPLETE
O5251,C1129,2026-07-12,59.39,Completed
O5036,C1016,2026-01-31,39.93,Completed
O5244,C1125,2026-07-06,57.13,Completed
O5088,C1045,2026-07-27,11.62,Refunded
O5209,C1110,2026-02-17,42.18,Completed
O5226,C1117,2025-10-19,55.05,Completed
O5236,C1121,2026-08-14,63.73,Completed
O5257,C1132,2025-05-30,63.9,Refunded
O5204,C1107,2026-07-05,53.42,Completed
O5198,C1105,2026-07-22,49.28,Refunded
O5287,C1149,2025-11-14,82.57,completed
O5279,C1143,2025-11-09,37.27,Completed
O5248,C1128,2026-03-24,34.94,COMPLETE
O5065,C1032,2025-11-20,44.93,Completed
O5011,C1004,2026-03-19,65.64,Completed
O5200,C1106,2026-04-30,62.45,Completed
O5277,C1142,2025-12-19,10.88,Completed
O5262,C1135,2025-09-11,56.84,Cancelled
O5094,C1048,2026-05-15,23.05,Completed
O5283,C1147,2025-10-30,62.51,Completed
O5286,C1149,2025-08-14,66.03,Cancelled
O5006,C1003,2026-02-26,42.92,Completed
O5211,C1111,2026-06-17,84.1,Cancelled
O5196,C1103,2025-09-23,43.8,Completed
O5206,C1109,2026-06-20,48.6,Completed
O5059,C1029,2025-10-29,74.54,Completed
O5105,C1054,2026-01-09,49.41,Completed
O5261,C1134,2026-08-02,70.12,Completed
O5007,C1003,2026-03-15,43.26,Completed
O5195,C1103,2025-08-18,62.15,Completed
O5150,C1081,2026-02-07,,Completed
O5164,C1087,2026-03-22,60.61,Completed
O5217,C1114,2026-04-26,29.5,Completed
O5075,C1039,2026-08-21,24.64,Completed
O5256,C1131,2026-03-25,43.19,Refunded
O5191,C1102,2026-07-11,62.01,Completed
O5112,C1057,2026-01-29,85.02,Completed
O5282,C1146,2025-05-25,26.2,Completed
O5107,C1055,2025-07-13,64.44,Completed
O5149,C1080,2026-06-07,31.96,Completed
O5212,C1112,2026-01-19,54.36,Refunded
O5247,C1127,2026-04-14,63.19,COMPLETE
O5066,C1033,2026-04-19,56.79,Completed
O5186,C1099,2025-10-28,35.32,Completed
O5142,C1077,2025-10-01,48.31,Completed
O5157,C1084,2026-01-31,62.04,Completed
O5133,C1070,2026-05-24,48.68,Completed
O5101,C1052,2026-06-04,55.58,Completed
O5214,C1113,2026-02-13,49.91,Completed
O5032,C1013,2026-08-07,19.12,Completed
O5119,C1062,2025-12-26,61.29,Cancelled
O5120,C1063,2026-06-23,61.98,completed
O5241,C1123,2026-08-29,37.8,Refunded
O5168,C1088,2026-05-26,55.56,Completed
O5039,C1018,2026-06-25,36.27,completed
O5225,C1117,2025-08-21,47.54,Completed
O5245,C1126,2025-06-12,46.78,Cancelled
O5083,C1043,2025-09-13,68.31,COMPLETE
O5051,C1025,2026-03-16,,completed
O5085,C1044,2025-09-26,59.72,Completed
O5250,C1129,2026-06-12,44.44,Refunded
O5082,C1042,2026-07-24,61.02,Completed
O5163,C1087,2025-11-13,45.93,Completed
O5076,C1040,2025-09-02,52.13,Completed
O5125,C1067,2025-12-27,37.65,Completed
O5106,C1054,2026-04-19,51.58,Completed
O5265,C1136,2026-05-02,55.06,Completed
O5130,C1068,2025-06-12,66.65,Completed
O5249,C1129,2026-04-30,,Completed
O5197,C1104,2026-07-28,37.67,Completed
O5009,C1003,2026-08-03,60.48,Completed
O5041,C1019,2026-01-06,45.39,Refunded
O5173,C1091,2026-08-14,86.57,Cancelled
O5252,C1130,2026-01-05,56.99,Completed
O5111,C1057,2025-11-05,88.26,Completed
O5048,C1023,2026-06-17,61.0,Completed
O5272,C1139,2025-11-29,18.97,Completed
O5049,C1024,2026-05-19,26.39,Completed
O5019,C1008,2026-02-23,78.92,Completed
O5044,C1021,2026-01-02,28.42,Completed
O5018,C1008,2025-12-06,70.2,Completed
O5260,C1133,2026-01-21,67.61,Completed
O5167,C1088,2026-04-27,21.49,Cancelled
O5091,C1046,2026-08-29,59.24,refunded
O5118,C1061,2026-08-22,42.15,Completed
O5154,C1082,2025-11-12,71.1,Completed
O5020,C1009,2025-07-14,18.94,Completed
O5079,C1041,2026-06-11,91.63,Completed
O5161,C1086,2025-09-24,74.8,Completed
O5115,C1059,2026-04-15,38.76,Completed
O5073,C1038,2025-10-05,26.82,Completed
O5069,C1035,2025-05-26,39.02,Refunded
O5210,C1110,2026-06-12,46.29,Completed
O5216,C1114,2026-01-13,74.88,Completed
O5132,C1069,2025-12-26,51.21,Completed
O5002,C1000,2025-07-02,56.27,Completed
O5188,C1099,2026-03-22,9.97,Completed
O5228,C1118,2025-09-04,80.96,Completed
O5179,C1095,2025-11-13,29.04,Completed
O5182,C1097,2026-02-24,36.86,Refunded
O5134,C1070,2026-07-26,53.27,Completed
O5224,C1116,2025-11-24,57.35,Completed
O5249,C1129,2026-04-30,78.74,Completed
O5169,C1088,2026-08-31,,Completed
O5264,C1135,2025-12-25,61.34,Completed
O5143,C1077,2025-12-06,55.21,Cancelled
O5246,C1126,2025-07-25,43.4,Completed
O5028,C1011,2026-07-13,68.68,Canceled
O5139,C1075,2026-02-24,25.84,Completed
O5090,C1046,2026-04-29,33.82,Completed
O5024,C1009,2026-05-13,40.71,Completed
O5097,C1050,2026-03-20,64.68,Completed
O5080,C1041,2026-08-26,49.47,Completed
O5091,C1046,2026-08-29,59.24,refunded
O5193,C1103,2025-05-29,32.01,Completed
O5243,C1125,2026-03-29,57.7,Completed
O5172,C1090,2026-06-03,88.07,Completed
O5068,C1034,2026-08-14,71.16,Refunded
O5146,C1078,2026-02-17,62.97,Completed
O5282,C1146,2025-05-25,26.2,Completed
O5082,C1042,2026-07-24,61.02,Completed
O5232,C1119,2025-10-26,60.69,Completed
O5038,C1017,2025-06-29,69.46,Refunded
O5141,C1076,2025-09-21,56.78,Completed
O5035,C1016,2026-01-21,79.36,Completed
O5126,C1067,2026-01-14,51.38,Complete
O5237,C1122,2026-06-05,44.96,Cancelled
O5254,C1130,2026-03-25,66.76,Completed
O5177,C1093,2026-02-10,60.01,Completed
O5093,C1047,2026-07-14,47.38,Completed
O5110,C1057,2025-07-24,57.96,Cancelled
O5281,C1145,2026-05-01,20.65,Completed
O5072,C1037,2026-06-22,38.06,Cancelled
O5162,C1087,2025-09-13,44.6,Completed
O5270,C1138,2025-12-16,56.11,Completed
O5092,C1047,2026-06-01,25.27,Completed
O5081,C1042,2026-05-29,39.0,Completed
O5192,C1102,2026-08-24,52.35,Completed
